6 6.0 -1.0 2 42 1 -1
6 6.0 -1.0 2 43 1 -1
6 6.0 -1.0 1 44 2 -1
6 6.0 -1.0 1 44 1 -1
6 6.0 -1.0 2 44 1 -1
6 6.0 -1.0 2 45 2 -1
6 6.0 -1.0 2 45 1 -1
6 6.0 -1.0 0 51 1 -1
6 6.0 -1.0 1 51 1 -1
6 6.0 -1.0 2 51 2 -1
6 6.0 -1.0 2 51 1 -1
6 6.0 -1.0 1 53 3 -1
6 6.0 -1.0 1 53 1 -1
6 6.0 -1.0 0 54 1 -1
6 6.0 -1.0 0 55 1 -1
6 6.0 -1.0 1 55 1 -1
6 6.0 -1.0 1 56 1 -1
6 6.0 -1.0 0 58 1 -1
6 6.0 -1.0 1 58 1 -1
6 6.0 -1.0 2 58 2 -1
6 6.0 -1.0 0 61 1 -1
6 6.0 -1.0 1 61 2 -1
6 6.0 -1.0 2 61 1 -1
6 6.0 -1.0 0 62 2 -1
6 6.0 -1.0 1 64 1 -1
6 6.0 -1.0 2 66 2 -1
6 6.0 -1.0 2 67 1 -1
6 6.0 -1.0 1 68 3 -1
6 6.0 -1.0 1 68 1 -1
6 6.0 -1.0 2 68 1 -1
6 6.0 -1.0 2 70 1 -1
6 6.0 -1.0 1 72 1 -1
6 6.0 -1.0 2 72 1 -1
6 6.0 -1.0 2 74 1 -1
6 6.0 -1.0 0 75 1 -1
6 6.0 -1.0 2 75 2 -1
6 6.0 -1.0 2 75 1 -1
6 6.0 -1.0 0 76 1 -1
6 6.0 -1.0 1 76 3 -1
6 6.0 -1.0 2 76 2 -1
6 6.0 -1.0 2 76 1 -1
6 6.0 -1.0 0 77 1 -1
6 6.0 -1.0 2 77 1 -1
6 6.0 -1.0 2 78 3 -1
6 6.0 -1.0 2 78 2 -1
6 6.0 -1.0 0 81 1 -1
6 6.0 -1.0 2 82 2 -1
6 6.0 -1.0 2 82 1 -1
6 6.0 -1.0 1 84 1 -1
6 6.0 -1.0 0 85 1 -1
6 6.0 -1.0 2 87 1 -1
6 6.0 -1.0 2 88 2 -1
6 6.0 -1.0 2 88 1 -1
6 6.0 -1.0 0 89 1 -1
6 6.0 -1.0 1 89 1 -1
6 6.0 -1.0 2 89 1 -1
6 6.0 -1.0 1 92 2 -1
6 6.0 -1.0 1 92 1 -1
6 6.0 -1.0 2 93 2 -1
6 6.0 -1.0 2 93 1 -1
6 6.0 -1.0 1 95 1 -1
6 6.0 -1.0 1 96 1 -1
6 6.0 -1.0 1 97 1 -1
6 6.0 -1.0 2 98 3 -1
6 6.0 -1.0 2 98 1 -1
6 6.0 -1.0 1 99 1 -1
6 6.0 -1.0 2 99 1 -1
6 6.0 -1.0 2 100 1 -1
6 6.0 -1.0 2 101 1 -1
6 6.0 -1.0 0 102 1 -1
6 6.0 -1.0 1 102 1 -1
6 6.0 -1.0 0 103 1 -1
6 6.0 -1.0 1 103 1 -1
6 6.0 -1.0 2 103 1 -1
6 6.0 -1.0 0 104 1 -1
7 0.0 -1.0 1 0 4 -1
7 0.0 -1.0 2 0 4 -1
7 0.0 -1.0 2 0 3 -1
7 0.0 -1.0 2 0 1 -1
7 0.0 -1.0 2 1 1 -1
7 0.0 -1.0 0 2 1 -1
7 0.0 -1.0 1 2 2 -1
7 0.0 -1.0 1 2 1 -1
7 0.0 -1.0 2 2 1 -1
7 0.0 -1.0 2 3 3 -1
7 0.0 -1.0 1 4 1 -1
7 0.0 -1.0 2 4 2 -1
7 0.0 -1.0 0 5 1 -1
7 0.0 -1.0 1 5 2 -1
7 0.0 -1.0 1 5 1 -1
7 0.0 -1.0 2 5 1 -1
7 0.0 -1.0 2 6 2 -1
7 0.0 -1.0 2 6 1 -1
7 0.0 -1.0 1 7 1 -1
7 0.0 -1.0 2 7 3 -1
7 0.0 -1.0 2 7 1 -1
7 0.0 -1.0 2 8 2 -1
7 0.0 -1.0 2 8 1 -1
7 0.0 -1.0 1 10 1 -1
7 0.0 -1.0 2 10 5 -1
7 0.0 -1.0 1 11 1 -1
7 0.0 -1.0 1 13 2 -1
7 0.0 -1.0 2 13 2 -1
7 0.0 -1.0 2 13 1 -1
7 0.0 -1.0 0 14 1 -1
7 0.0 -1.0 2 14 2 -1
7 0.0 -1.0 2 14 1 -1
7 0.0 -1.0 0 15 1 -1
7 0.0 -1.0 1 15 1 -1
7 0.0 -1.0 2 15 1 -1
7 0.0 -1.0 1 16 1 -1
7 0.0 -1.0 2 17 1 -1
7 0.0 -1.0 2 18 3 -1
7 0.0 -1.0 2 18 2 -1
7 0.0 -1.0 2 18 1 -1
7 0.0 -1.0 1 19 1 -1
7 0.0 -1.0 0 21 1 -1
7 0.0 -1.0 1 21 2 -1
7 0.0 -1.0 1 21 1 -1
7 0.0 -1.0 2 22 3 -1
7 0.0 -1.0 2 22 1 -1
7 0.0 -1.0 1 24 1 -1
7 0.0 -1.0 2 26 2 -1
7 0.0 -1.0 0 28 1 -1
7 0.0 -1.0 1 31 1 -1
7 0.0 -1.0 1 33 2 -1
7 0.0 -1.0 1 33 1 -1
7 0.0 -1.0 2 34 2 -1
7 0.0 -1.0 2 35 1 -1
7 0.0 -1.0 1 36 1 -1
7 0.0 -1.0 2 36 1 -1
7 0.0 -1.0 1 37 1 -1
7 0.0 -1.0 1 39 1 -1
7 0.0 -1.0 2 39 1 -1
7 0.0 -1.0 2 40 2 -1
7 0.0 -1.0 2 40 1 -1
7 0.0 -1.0 1 41 2 -1
7 0.0 -1.0 1 41 1 -1
7 0.0 -1.0 2 45 2 -1
7 0.0 -1.0 2 45 1 -1
7 0.0 -1.0 1 46 1 -1
7 0.0 -1.0 2 46 1 -1
7 0.0 -1.0 2 47 1 -1
7 0.0 -1.0 0 49 1 -1
7 0.0 -1.0 2 49 1 -1
7 0.0 -1.0 1 50 1 -1
7 0.0 -1.0 2 50 1 -1
7 0.0 -1.0 1 51 1 -1
7 0.0 -1.0 0 52 1 -1
7 0.0 -1.0 1 52 2 -1
7 0.0 -1.0 1 52 1 -1
7 0.0 -1.0 2 53 1 -1
7 0.0 -1.0 1 54 3 -1
7 0.0 -1.0 2 55 2 -1
7 0.0 -1.0 2 55 1 -1
7 0.0 -1.0 1 56 3 -1
7 0.0 -1.0 1 56 1 -1
7 0.0 -1.0 2 57 1 -1
7 0.0 -1.0 2 59 1 -1
7 0.0 -1.0 0 63 1 -1
7 0.0 -1.0 2 63 2 -1
7 0.0 -1.0 2 63 1 -1
7 0.0 -1.0 2 64 1 -1
7 0.0 -1.0 1 65 1 -1
7 0.0 -1.0 2 65 2 -1
7 0.0 -1.0 2 65 1 -1
7 0.0 -1.0 1 66 1 -1
7 0.0 -1.0 2 67 2 -1
7 0.0 -1.0 2 67 1 -1
7 0.0 -1.0 1 68 1 -1
7 0.0 -1.0 2 68 2 -1
7 0.0 -1.0 2 68 1 -1
7 0.0 -1.0 0 70 1 -1
7 0.0 -1.0 1 70 1 -1
7 0.0 -1.0 2 71 1 -1
7 0.0 -1.0 0 72 1 -1
7 0.0 -1.0 2 73 1 -1
7 0.0 -1.0 2 74 1 -1
7 0.0 -1.0 0 75 1 -1
7 0.0 -1.0 1 75 1 -1
7 0.0 -1.0 2 75 1 -1
7 0.0 -1.0 0 77 1 -1
7 0.0 -1.0 1 77 1 -1
7 0.0 -1.0 2 78 1 -1
7 0.0 -1.0 2 79 4 -1
7 0.0 -1.0 2 79 2 -1
7 0.0 -1.0 0 80 1 -1
7 0.0 -1.0 0 81 1 -1
7 0.0 -1.0 1 81 1 -1
7 0.0 -1.0 2 81 1 -1
7 0.0 -1.0 2 83 1 -1
7 0.0 -1.0 0 85 1 -1
7 0.0 -1.0 2 87 1 -1
7 0.0 -1.0 0 88 1 -1
7 0.0 -1.0 2 88 2 -1
7 0.0 -1.0 2 88 1 -1
7 0.0 -1.0 1 89 1 -1
7 0.0 -1.0 2 90 1 -1
7 0.0 -1.0 2 91 2 -1
7 0.0 -1.0 2 92 1 -1
7 0.0 -1.0 1 94 1 -1
7 0.0 -1.0 2 94 1 -1
7 0.0 -1.0 1 95 1 -1
7 0.0 -1.0 0 96 1 -1
7 0.0 -1.0 1 96 1 -1
7 0.0 -1.0 2 96 1 -1
7 0.0 -1.0 1 97 2 -1
7 0.0 -1.0 1 97 1 -1
7 0.0 -1.0 2 99 1 -1
7 0.0 -1.0 1 100 1 -1
7 0.0 -1.0 2 100 1 -1
7 0.0 -1.0 1 101 3 -1
7 0.0 -1.0 1 101 1 -1
7 0.0 -1.0 1 102 1 -1
7 0.0 -1.0 2 103 1 -1
7 1.0 -1.0 1 0 3 -1
7 1.0 -1.0 1 0 2 -1
7 1.0 -1.0 0 1 1 -1
7 1.0 -1.0 2 1 1 -1
7 1.0 -1.0 1 2 1 -1
7 1.0 -1.0 2 2 2 -1
7 1.0 -1.0 0 3 1 -1
7 1.0 -1.0 1 3 1 -1
7 1.0 -1.0 0 4 1 -1
7 1.0 -1.0 1 4 1 -1
7 1.0 -1.0 2 4 3 -1
7 1.0 -1.0 2 4 1 -1
7 1.0 -1.0 0 5 2 -1
7 1.0 -1.0 0 5 1 -1
7 1.0 -1.0 1 5 2 -1
7 1.0 -1.0 1 5 1 -1
7 1.0 -1.0 2 5 1 -1
7 1.0 -1.0 1 6 1 -1
7 1.0 -1.0 2 6 3 -1
7 1.0 -1.0 2 6 2 -1
7 1.0 -1.0 2 7 5 -1
7 1.0 -1.0 2 7 1 -1
7 1.0 -1.0 0 8 1 -1
7 1.0 -1.0 1 8 2 -1
7 1.0 -1.0 1 8 1 -1
7 1.0 -1.0 2 8 1 -1
7 1.0 -1.0 0 9 1 -1
7 1.0 -1.0 1 9 1 -1
7 1.0 -1.0 2 9 2 -1
7 1.0 -1.0 2 9 1 -1
7 1.0 -1.0 1 10 1 -1
7 1.0 -1.0 2 10 1 -1
7 1.0 -1.0 0 11 1 -1
7 1.0 -1.0 1 11 1 -1
7 1.0 -1.0 2 11 1 -1
7 1.0 -1.0 1 12 2 -1
7 1.0 -1.0 1 12 1 -1
7 1.0 -1.0 2 12 3 -1
7 1.0 -1.0 2 12 2 -1
7 1.0 -1.0 2 12 1 -1
7 1.0 -1.0 1 13 1 -1
7 1.0 -1.0 2 13 2 -1
7 1.0 -1.0 2 13 1 -1
7 1.0 -1.0 2 14 1 -1
7 1.0 -1.0 0 15 1 -1
7 1.0 -1.0 2 15 3 -1
7 1.0 -1.0 2 15 1 -1
7 1.0 -1.0 0 16 1 -1
7 1.0 -1.0 1 17 1 -1
7 1.0 -1.0 2 17 2 -1
7 1.0 -1.0 2 17 1 -1
7 1.0 -1.0 1 18 2 -1
7 1.0 -1.0 1 19 1 -1
7 1.0 -1.0 2 19 2 -1
7 1.0 -1.0 2 19 1 -1
7 1.0 -1.0 2 21 1 -1
7 1.0 -1.0 1 22 2 -1
7 1.0 -1.0 1 22 1 -1
7 1.0 -1.0 0 23 1 -1
7 1.0 -1.0 1 24 1 -1
7 1.0 -1.0 1 25 2 -1
7 1.0 -1.0 1 25 1 -1
7 1.0 -1.0 2 26 2 -1
7 1.0 -1.0 2 26 1 -1
7 1.0 -1.0 1 27 1 -1
7 1.0 -1.0 1 29 1 -1
7 1.0 -1.0 2 30 1 -1
7 1.0 -1.0 1 33 1 -1
7 1.0 -1.0 2 33 1 -1
7 1.0 -1.0 1 34 2 -1
7 1.0 -1.0 1 34 1 -1
7 1.0 -1.0 0 36 1 -1
7 1.0 -1.0 2 36 2 -1
7 1.0 -1.0 1 38 1 -1
7 1.0 -1.0 2 38 1 -1
7 1.0 -1.0 2 39 2 -1
7 1.0 -1.0 2 40 1 -1
7 1.0 -1.0 1 42 1 -1
7 1.0 -1.0 2 42 3 -1
7 1.0 -1.0 2 43 1 -1
7 1.0 -1.0 1 45 2 -1
7 1.0 -1.0 2 45 3 -1
7 1.0 -1.0 0 47 1 -1
7 1.0 -1.0 2 48 3 -1
7 1.0 -1.0 2 48 2 -1
7 1.0 -1.0 1 49 1 -1
7 1.0 -1.0 2 50 2 -1
7 1.0 -1.0 1 51 1 -1
7 1.0 -1.0 2 51 2 -1
7 1.0 -1.0 0 52 1 -1
7 1.0 -1.0 1 53 1 -1
7 1.0 -1.0 2 53 2 -1
7 1.0 -1.0 2 54 2 -1
7 1.0 -1.0 0 55 2 -1
7 1.0 -1.0 0 55 1 -1
7 1.0 -1.0 1 55 1 -1
7 1.0 -1.0 2 56 1 -1
7 1.0 -1.0 1 57 2 -1
7 1.0 -1.0 2 57 1 -1
7 1.0 -1.0 2 58 1 -1
7 1.0 -1.0 1 59 1 -1
7 1.0 -1.0 2 59 5 -1
7 1.0 -1.0 0 60 3 -1
7 1.0 -1.0 0 60 1 -1
7 1.0 -1.0 1 60 2 -1
7 1.0 -1.0 2 60 1 -1
7 1.0 -1.0 1 61 2 -1
7 1.0 -1.0 1 61 1 -1
7 1.0 -1.0 1 62 3 -1
7 1.0 -1.0 1 62 1 -1
7 1.0 -1.0 1 63 1 -1
7 1.0 -1.0 1 64 2 -1
7 1.0 -1.0 1 64 1 -1
7 1.0 -1.0 2 64 2 -1
7 1.0 -1.0 2 64 1 -1
7 1.0 -1.0 0 65 1 -1
7 1.0 -1.0 1 66 1 -1
7 1.0 -1.0 2 66 2 -1
7 1.0 -1.0 2 66 1 -1
7 1.0 -1.0 1 67 3 -1
7 1.0 -1.0 1 67 1 -1
7 1.0 -1.0 2 67 2 -1
7 1.0 -1.0 1 68 2 -1
7 1.0 -1.0 1 68 1 -1
7 1.0 -1.0 2 68 2 -1
7 1.0 -1.0 1 69 1 -1
7 1.0 -1.0 2 69 2 -1
7 1.0 -1.0 2 71 4 -1
7 1.0 -1.0 1 72 1 -1
7 1.0 -1.0 0 74 1 -1
7 1.0 -1.0 0 75 1 -1
7 1.0 -1.0 1 75 1 -1
7 1.0 -1.0 2 75 1 -1
7 1.0 -1.0 1 76 1 -1
7 1.0 -1.0 1 77 2 -1
7 1.0 -1.0 1 77 1 -1
7 1.0 -1.0 2 77 3 -1
7 1.0 -1.0 1 78 3 -1
7 1.0 -1.0 1 78 2 -1
7 1.0 -1.0 0 79 1 -1
7 1.0 -1.0 1 80 3 -1
7 1.0 -1.0 1 80 1 -1
7 1.0 -1.0 1 81 1 -1
7 1.0 -1.0 2 82 1 -1
7 1.0 -1.0 1 83 4 -1
7 1.0 -1.0 1 83 2 -1
7 1.0 -1.0 2 85 1 -1
7 1.0 -1.0 1 86 1 -1
7 1.0 -1.0 1 87 1 -1
7 1.0 -1.0 2 89 1 -1
7 1.0 -1.0 2 90 1 -1
7 1.0 -1.0 1 93 2 -1
7 1.0 -1.0 1 93 1 -1
7 1.0 -1.0 2 94 2 -1
7 1.0 -1.0 2 94 1 -1
7 1.0 -1.0 1 95 2 -1
7 1.0 -1.0 1 95 1 -1
7 1.0 -1.0 0 96 1 -1
7 1.0 -1.0 2 97 1 -1
7 1.0 -1.0 1 100 1 -1
7 1.0 -1.0 2 100 1 -1
7 1.0 -1.0 1 101 3 -1
7 1.0 -1.0 1 101 1 -1
7 1.0 -1.0 1 102 4 -1
7 1.0 -1.0 2 102 1 -1
7 1.0 -1.0 0 103 1 -1
7 1.0 -1.0 2 104 1 -1
7 2.0 -1.0 1 0 1 -1
7 2.0 -1.0 2 0 1 -1
7 2.0 -1.0 0 1 2 -1
7 2.0 -1.0 2 1 1 -1
7 2.0 -1.0 0 2 2 -1
7 2.0 -1.0 0 2 1 -1
7 2.0 -1.0 1 2 2 -1
7 2.0 -1.0 1 2 1 -1
7 2.0 -1.0 2 2 3 -1
7 2.0 -1.0 2 2 2 -1
7 2.0 -1.0 1 3 1 -1
7 2.0 -1.0 2 3 2 -1
7 2.0 -1.0 2 3 1 -1
7 2.0 -1.0 0 4 1 -1
7 2.0 -1.0 1 4 1 -1
7 2.0 -1.0 2 4 1 -1
7 2.0 -1.0 2 5 3 -1
7 2.0 -1.0 2 5 1 -1
7 2.0 -1.0 0 6 1 -1
7 2.0 -1.0 0 7 1 -1
7 2.0 -1.0 1 7 2 -1
7 2.0 -1.0 2 7 1 -1
7 2.0 -1.0 0 8 1 -1
7 2.0 -1.0 1 8 1 -1
7 2.0 -1.0 2 8 2 -1
7 2.0 -1.0 2 8 1 -1
7 2.0 -1.0 0 9 2 -1
7 2.0 -1.0 1 9 1 -1
7 2.0 -1.0 2 9 3 -1
7 2.0 -1.0 2 9 2 -1
7 2.0 -1.0 2 9 1 -1
7 2.0 -1.0 0 10 1 -1
7 2.0 -1.0 1 10 2 -1
7 2.0 -1.0 1 10 1 -1
7 2.0 -1.0 2 10 3 -1
7 2.0 -1.0 1 11 2 -1
7 2.0 -1.0 2 11 2 -1
7 2.0 -1.0 1 12 1 -1
7 2.0 -1.0 2 12 4 -1
7 2.0 -1.0 2 12 1 -1
7 2.0 -1.0 1 13 2 -1
7 2.0 -1.0 2 13 2 -1
7 2.0 -1.0 2 13 1 -1
7 2.0 -1.0 1 14 2 -1
7 2.0 -1.0 2 14 2 -1
7 2.0 -1.0 2 14 1 -1
7 2.0 -1.0 1 15 1 -1
7 2.0 -1.0 2 15 3 -1
7 2.0 -1.0 2 15 2 -1
7 2.0 -1.0 2 15 1 -1
7 2.0 -1.0 0 16 2 -1
7 2.0 -1.0 0 16 1 -1
7 2.0 -1.0 2 16 2 -1
7 2.0 -1.0 2 16 1 -1
7 2.0 -1.0 1 17 1 -1
7 2.0 -1.0 2 17 1 -1
7 2.0 -1.0 0 18 1 -1
7 2.0 -1.0 1 18 2 -1
7 2.0 -1.0 1 18 1 -1
7 2.0 -1.0 2 18 1 -1
7 2.0 -1.0 0 19 1 -1
7 2.0 -1.0 1 19 1 -1
7 2.0 -1.0 2 19 1 -1
7 2.0 -1.0 1 20 3 -1
7 2.0 -1.0 1 20 2 -1
7 2.0 -1.0 1 20 1 -1
7 2.0 -1.0 0 21 1 -1
7 2.0 -1.0 2 21 2 -1
7 2.0 -1.0 1 22 1 -1
7 2.0 -1.0 2 22 2 -1
7 2.0 -1.0 2 22 1 -1
7 2.0 -1.0 0 23 1 -1
7 2.0 -1.0 2 23 1 -1
7 2.0 -1.0 1 24 3 -1
7 2.0 -1.0 1 24 2 -1
7 2.0 -1.0 0 25 1 -1
7 2.0 -1.0 0 26 2 -1
7 2.0 -1.0 0 26 1 -1
7 2.0 -1.0 2 26 1 -1
7 2.0 -1.0 0 27 1 -1
7 2.0 -1.0 1 27 1 -1
7 2.0 -1.0 0 29 2 -1
7 2.0 -1.0 0 29 1 -1
7 2.0 -1.0 2 29 1 -1
7 2.0 -1.0 0 30 1 -1
7 2.0 -1.0 1 30 2 -1
7 2.0 -1.0 1 30 1 -1
7 2.0 -1.0 2 31 1 -1
7 2.0 -1.0 0 32 1 -1
7 2.0 -1.0 1 32 1 -1
7 2.0 -1.0 0 33 1 -1
7 2.0 -1.0 1 35 1 -1
7 2.0 -1.0 0 36 1 -1
7 2.0 -1.0 2 36 1 -1
7 2.0 -1.0 2 37 2 -1
7 2.0 -1.0 2 37 1 -1
7 2.0 -1.0 1 38 1 -1
7 2.0 -1.0 2 38 3 -1
7 2.0 -1.0 2 38 1 -1
7 2.0 -1.0 0 39 1 -1
7 2.0 -1.0 1 40 2 -1
7 2.0 -1.0 2 41 2 -1
7 2.0 -1.0 2 41 1 -1
7 2.0 -1.0 0 42 1 -1
7 2.0 -1.0 2 42 1 -1
7 2.0 -1.0 2 43 3 -1
7 2.0 -1.0 2 43 1 -1
7 2.0 -1.0 2 44 2 -1
7 2.0 -1.0 2 45 1 -1
7 2.0 -1.0 0 46 2 -1
7 2.0 -1.0 0 46 1 -1
7 2.0 -1.0 2 46 1 -1
7 2.0 -1.0 1 47 1 -1
7 2.0 -1.0 2 47 2 -1
7 2.0 -1.0 2 47 1 -1
7 2.0 -1.0 0 48 1 -1
7 2.0 -1.0 1 48 1 -1
7 2.0 -1.0 1 49 3 -1
7 2.0 -1.0 1 49 2 -1
7 2.0 -1.0 0 50 1 -1
7 2.0 -1.0 1 50 2 -1
7 2.0 -1.0 1 50 1 -1
7 2.0 -1.0 2 50 2 -1
7 2.0 -1.0 0 51 2 -1
7 2.0 -1.0 0 51 1 -1
7 2.0 -1.0 1 52 3 -1
7 2.0 -1.0 1 52 2 -1
7 2.0 -1.0 2 52 1 -1
7 2.0 -1.0 0 53 1 -1
7 2.0 -1.0 1 53 1 -1
7 2.0 -1.0 2 54 1 -1
7 2.0 -1.0 1 55 1 -1
7 2.0 -1.0 2 55 1 -1
7 2.0 -1.0 2 56 2 -1
7 2.0 -1.0 1 58 2 -1
7 2.0 -1.0 1 59 2 -1
7 2.0 -1.0 0 60 1 -1
7 2.0 -1.0 1 60 2 -1
7 2.0 -1.0 1 60 1 -1
7 2.0 -1.0 2 60 1 -1
7 2.0 -1.0 0 61 1 -1
7 2.0 -1.0 0 62 2 -1
7 2.0 -1.0 0 62 1 -1
7 2.0 -1.0 1 62 1 -1
7 2.0 -1.0 2 62 1 -1
7 2.0 -1.0 2 63 4 -1
7 2.0 -1.0 2 63 2 -1
7 2.0 -1.0 2 63 1 -1
7 2.0 -1.0 0 64 2 -1
7 2.0 -1.0 0 64 1 -1
7 2.0 -1.0 1 64 1 -1
7 2.0 -1.0 0 65 1 -1
7 2.0 -1.0 1 65 1 -1
7 2.0 -1.0 2 65 1 -1
7 2.0 -1.0 1 66 2 -1
7 2.0 -1.0 1 66 1 -1
7 2.0 -1.0 2 66 2 -1
7 2.0 -1.0 2 66 1 -1
7 2.0 -1.0 2 67 1 -1
7 2.0 -1.0 1 68 2 -1
7 2.0 -1.0 2 68 4 -1
7 2.0 -1.0 2 68 2 -1
7 2.0 -1.0 2 69 2 -1
7 2.0 -1.0 2 69 1 -1
7 2.0 -1.0 2 70 3 -1
7 2.0 -1.0 2 70 2 -1
7 2.0 -1.0 2 71 1 -1
7 2.0 -1.0 0 72 1 -1
7 2.0 -1.0 1 72 1 -1
7 2.0 -1.0 2 73 1 -1
7 2.0 -1.0 0 75 1 -1
7 2.0 -1.0 2 75 1 -1
7 2.0 -1.0 2 76 2 -1
7 2.0 -1.0 2 76 1 -1
7 2.0 -1.0 1 77 2 -1
7 2.0 -1.0 1 79 3 -1
7 2.0 -1.0 1 79 1 -1
7 2.0 -1.0 2 79 1 -1
7 2.0 -1.0 1 80 2 -1
7 2.0 -1.0 1 80 1 -1
7 2.0 -1.0 2 80 1 -1
7 2.0 -1.0 2 81 1 -1
7 2.0 -1.0 1 83 1 -1
7 2.0 -1.0 2 83 1 -1
7 2.0 -1.0 1 84 1 -1
7 2.0 -1.0 2 84 2 -1
7 2.0 -1.0 1 85 1 -1
7 2.0 -1.0 2 85 1 -1
7 2.0 -1.0 2 86 2 -1
7 2.0 -1.0 2 86 1 -1
7 2.0 -1.0 2 87 1 -1
7 2.0 -1.0 0 88 1 -1
7 2.0 -1.0 1 88 1 -1
7 2.0 -1.0 2 88 1 -1
7 2.0 -1.0 2 89 4 -1
7 2.0 -1.0 2 89 2 -1
7 2.0 -1.0 2 89 1 -1
7 2.0 -1.0 1 90 1 -1
7 2.0 -1.0 2 90 1 -1
7 2.0 -1.0 2 91 2 -1
7 2.0 -1.0 2 91 1 -1
7 2.0 -1.0 2 92 1 -1
7 2.0 -1.0 1 93 1 -1
7 2.0 -1.0 2 93 1 -1
7 2.0 -1.0 2 94 1 -1
7 2.0 -1.0 2 95 1 -1
7 2.0 -1.0 1 96 1 -1
7 2.0 -1.0 1 97 2 -1
7 2.0 -1.0 1 97 1 -1
7 2.0 -1.0 2 97 2 -1
7 2.0 -1.0 0 98 1 -1
7 2.0 -1.0 1 98 1 -1
7 2.0 -1.0 2 98 2 -1
7 2.0 -1.0 2 98 1 -1
7 2.0 -1.0 0 99 1 -1
7 2.0 -1.0 1 99 1 -1
7 2.0 -1.0 2 99 1 -1
7 2.0 -1.0 1 100 2 -1
7 2.0 -1.0 1 100 1 -1
7 2.0 -1.0 1 101 1 -1
7 2.0 -1.0 1 102 2 -1
7 2.0 -1.0 1 102 1 -1
7 2.0 -1.0 2 102 1 -1
7 2.0 -1.0 0 103 1 -1
7 2.0 -1.0 1 103 1 -1
7 2.0 -1.0 1 104 1 -1
7 2.0 -1.0 2 104 1 -1
7 3.0 -1.0 1 1 2 -1
7 3.0 -1.0 2 1 2 -1
7 3.0 -1.0 2 1 1 -1
7 3.0 -1.0 1 2 5 -1
7 3.0 -1.0 1 2 2 -1
7 3.0 -1.0 2 2 1 -1
7 3.0 -1.0 2 3 4 -1
7 3.0 -1.0 2 3 1 -1
7 3.0 -1.0 1 4 2 -1
7 3.0 -1.0 1 4 1 -1
7 3.0 -1.0 2 4 2 -1
7 3.0 -1.0 2 4 1 -1
7 3.0 -1.0 1 5 1 -1
7 3.0 -1.0 2 5 3 -1
7 3.0 -1.0 2 5 1 -1
7 3.0 -1.0 0 6 1 -1
7 3.0 -1.0 1 6 1 -1
7 3.0 -1.0 2 6 4 -1
7 3.0 -1.0 2 6 2 -1
7 3.0 -1.0 1 7 3 -1
7 3.0 -1.0 2 7 1 -1
7 3.0 -1.0 2 8 2 -1
7 3.0 -1.0 1 9 2 -1
7 3.0 -1.0 1 9 1 -1
7 3.0 -1.0 0 10 1 -1
7 3.0 -1.0 2 10 2 -1
7 3.0 -1.0 2 10 1 -1
7 3.0 -1.0 1 11 1 -1
7 3.0 -1.0 2 11 3 -1
7 3.0 -1.0 2 11 1 -1
7 3.0 -1.0 2 12 3 -1
7 3.0 -1.0 2 12 2 -1
7 3.0 -1.0 2 12 1 -1
7 3.0 -1.0 0 13 1 -1
7 3.0 -1.0 1 13 2 -1
7 3.0 -1.0 2 13 2 -1
7 3.0 -1.0 2 14 2 -1
7 3.0 -1.0 2 14 1 -1
7 3.0 -1.0 2 15 8 -1
7 3.0 -1.0 2 15 2 -1
7 3.0 -1.0 2 15 1 -1
7 3.0 -1.0 1 16 2 -1
7 3.0 -1.0 1 16 1 -1
7 3.0 -1.0 2 16 2 -1
7 3.0 -1.0 2 17 1 -1
7 3.0 -1.0 2 18 2 -1
7 3.0 -1.0 1 19 3 -1
7 3.0 -1.0 1 19 2 -1
7 3.0 -1.0 1 20 3 -1
7 3.0 -1.0 1 20 1 -1
7 3.0 -1.0 2 20 1 -1
7 3.0 -1.0 2 23 3 -1
7 3.0 -1.0 2 23 1 -1
7 3.0 -1.0 1 24 1 -1
7 3.0 -1.0 2 24 2 -1
7 3.0 -1.0 1 25 3 -1
7 3.0 -1.0 1 25 1 -1
7 3.0 -1.0 1 26 1 -1
7 3.0 -1.0 2 28 1 -1
7 3.0 -1.0 2 29 1 -1
7 3.0 -1.0 1 30 1 -1
7 3.0 -1.0 1 31 1 -1
7 3.0 -1.0 2 32 1 -1
7 3.0 -1.0 1 33 3 -1
7 3.0 -1.0 1 33 2 -1
7 3.0 -1.0 2 33 1 -1
7 3.0 -1.0 1 35 1 -1
7 3.0 -1.0 2 35 1 -1
7 3.0 -1.0 1 36 2 -1
7 3.0 -1.0 2 37 2 -1
7 3.0 -1.0 2 37 1 -1
7 3.0 -1.0 0 38 1 -1
7 3.0 -1.0 1 38 3 -1
7 3.0 -1.0 2 38 2 -1
7 3.0 -1.0 2 38 1 -1
7 3.0 -1.0 1 39 2 -1
7 3.0 -1.0 0 40 1 -1
7 3.0 -1.0 1 40 1 -1
7 3.0 -1.0 2 40 1 -1
7 3.0 -1.0 0 41 1 -1
7 3.0 -1.0 1 41 1 -1
7 3.0 -1.0 2 41 2 -1
7 3.0 -1.0 1 42 1 -1
7 3.0 -1.0 2 42 1 -1
7 3.0 -1.0 0 43 1 -1
7 3.0 -1.0 2 43 1 -1
7 3.0 -1.0 2 44 2 -1
7 3.0 -1.0 2 44 1 -1
7 3.0 -1.0 2 45 2 -1
7 3.0 -1.0 0 46 1 -1
7 3.0 -1.0 2 46 1 -1
